document.id,topic.id,method,score
3501,4.99,exact-match,0.0
3501,4.752,exact-match,0.0
3501,4.571,exact-match,0.0
3501,4.53,exact-match,0.0
3501,4.41,exact-match,0.0
3501,4.339,exact-match,0.0
3501,4.361,exact-match,0.0
3501,4.421,exact-match,0.0
3501,4.520,exact-match,0.0
3501,4.312,exact-match,0.0
3501,4.198,exact-match,0.0
3501,4.28,exact-match,0.0
3501,4.161,exact-match,0.0
3501,4.291,exact-match,0.0
3501,4.616,exact-match,0.0
3501,4.736,exact-match,0.0
3501,4.175,exact-match,0.0
3501,4.435,exact-match,0.0
3501,4.200,exact-match,0.0
3501,4.218,exact-match,0.0
3501,4.221,exact-match,0.0
3501,4.439,exact-match,0.0
3501,4.757,exact-match,0.0
3501,4.277,exact-match,0.0
3501,4.469,exact-match,0.0
3501,4.772,exact-match,0.0
3501,4.744,exact-match,0.0
3501,4.363,exact-match,0.0
3501,4.207,exact-match,0.0
3501,4.632,exact-match,0.0
3501,4.285,exact-match,0.0
3501,4.623,exact-match,0.0
3501,4.432,exact-match,0.0
3501,4.470,exact-match,0.0
3501,4.22,exact-match,0.0
3501,4.68,exact-match,0.0
3501,4.9,exact-match,0.0
3501,4.338,exact-match,0.0
3501,4.306,exact-match,0.0
3501,4.629,exact-match,0.0
3501,4.407,exact-match,0.0
3501,4.536,exact-match,0.0
3501,4.335,exact-match,0.0
3501,4.699,exact-match,0.0
3501,4.557,exact-match,0.0
3501,4.170,exact-match,0.0
3501,4.405,exact-match,0.0
3501,4.684,exact-match,0.0
3501,4.814,exact-match,0.0
3501,4.613,exact-match,0.0
3511,4.499,exact-match,0.0
3511,4.141,exact-match,0.0
3511,4.515,exact-match,0.0
3511,4.175,exact-match,0.0
3511,4.277,exact-match,0.0
3511,4.354,exact-match,0.0
3511,4.262,exact-match,0.0
3511,4.514,exact-match,0.0
3511,4.419,exact-match,0.0
3511,4.630,exact-match,0.0
3511,4.96,exact-match,0.0
3511,4.20,exact-match,0.0
3511,4.570,exact-match,0.0
3511,4.459,exact-match,0.0
3511,4.562,exact-match,0.0
3511,4.329,exact-match,0.0
3511,4.607,exact-match,0.0
3511,4.124,exact-match,0.0
3511,4.743,exact-match,0.0
3511,4.759,exact-match,0.0
3511,4.302,exact-match,0.0
3511,4.581,exact-match,0.0
3511,4.98,exact-match,0.0
3511,4.437,exact-match,0.0
3511,4.438,exact-match,0.0
3511,4.347,exact-match,0.0
3511,4.433,exact-match,0.0
3511,4.531,exact-match,0.0
3511,4.815,exact-match,0.0
3511,4.59,exact-match,0.0
3511,4.60,exact-match,0.0
3511,4.522,exact-match,0.0
3511,4.123,exact-match,0.0
3511,4.782,exact-match,0.0
3511,4.57,exact-match,0.0
3511,4.687,exact-match,0.0
3511,4.736,exact-match,0.0
3511,4.61,exact-match,0.0
3511,4.122,exact-match,0.0
3511,4.58,exact-match,0.0
3511,4.481,exact-match,0.0
3511,4.375,exact-match,0.0
3511,4.537,exact-match,0.0
3511,4.55,exact-match,0.0
3511,4.513,exact-match,0.0
3511,4.241,exact-match,0.0
3511,4.12,exact-match,0.0
3511,4.642,exact-match,0.0
3511,4.356,exact-match,0.0
3511,4.555,exact-match,0.0
